title,count,author,sources,original_publication_year,genres
slaughterhouse-five,2,kurt vonnegut,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1969,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'American', 'Fantasy']"
sons and lovers,2,d.h. lawrence,"lists\library100.csv, lists\modern-library-radcliffe.csv",1913,"['Classics', 'Fiction', 'Literature', 'Novels', 'British Literature', 'Romance', '20th Century', 'Classic Literature', 'English Literature', 'Literary Fiction']"
the awakening,2,kate chopin,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1899,"['Classics', 'Fiction', 'Feminism', 'School', 'Literature', 'Historical Fiction', 'Read For School', 'High School', 'American', '19th Century']"
the brothers karamazov,2,fyodor dostoevsky,"lists\guardian.csv, lists\penguin-classics.csv",1880,"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Philosophy', 'Novels', '19th Century', 'Classic Literature', 'Religion']"
the color purple,2,alice walker,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1982,"['Classics', 'Fiction', 'Historical Fiction', 'Feminism', 'Historical', 'LGBT', 'African American', 'Literature', 'Novels', 'Adult']"
the french lieutenant's woman,2,john fowles,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv",1969,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Historical', 'Literature', 'British Literature', 'Novels', 'Literary Fiction', '20th Century']"
the handmaid's tale,2,margaret atwood,"lists\centerforfiction.csv, lists\penguin-classics.csv",1985,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']"
the hunchback of notre dame,2,victor hugo,"lists\library100.csv, lists\harvard-classics-shelf-of-fiction.csv",1831,"['Classics', 'Fiction', 'Historical Fiction', 'France', 'Literature', 'French Literature', 'Gothic', 'Historical', 'Romance', 'Novels']"
the invisible man,2,ralph ellison,"lists\modern-library-radcliffe.csv, lists\centerforfiction.csv",1897,"['Classics', 'Science Fiction', 'Fiction', 'Fantasy', 'Horror', 'Literature', 'Audiobook', 'Novels', 'Science Fiction Fantasy', '19th Century']"
the master and margarita,2,mikhail bulgakov,"lists\penguin-classics.csv, lists\centerforfiction.csv",1967,"['Classics', 'Fiction', 'Russia', 'Fantasy', 'Russian Literature', 'Magical Realism', 'Literature', 'Novels', 'Historical Fiction', '20th Century']"
the new york trilogy,2,paul auster,"lists\centerforfiction.csv, lists\guardian.csv",1987,"['Fiction', 'Mystery', 'American', 'Contemporary', 'Novels', 'Literature', 'New York', 'Crime', 'The United States Of America', 'Short Stories']"
the old man and the sea,2,ernest hemingway,"lists\library100.csv, lists\modern-library-radcliffe.csv",1952,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure', 'Classic Literature', 'Literary Fiction', '20th Century']"
the quiet american,2,graham greene,"lists\guardian.csv, lists\penguin-classics.csv",1955,"['Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels', 'Asia', 'British Literature', 'Literary Fiction', 'Historical']"
the return of the native,2,thomas hardy,"lists\library100.csv, lists\penguin-classics.csv",1878,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', 'Historical Fiction', 'Novels', 'Romance', 'Classic Literature']"
"the sea, the sea",2,iris murdoch,"lists\centerforfiction.csv, lists\penguin-classics.csv",1978,"['Fiction', 'Classics', 'Literature', 'Novels', 'British Literature', 'Literary Fiction', '20th Century', 'Irish Literature', 'Philosophy', 'Womens']"
